,pergunta,alternativa_A,alternativa_B,alternativa_C,alternativa_D,categoria,correta
0,Qual é o significado de 'dog' em português?,Gato,Cachorro,Pássaro,Peixe,Vocabulario,B
1,Qual palavra é um sinônimo de 'happy'?,Sad,Angry,Tired,Joyful,Vocabulario,D
2,O que significa 'blue' em português?,Vermelho,Amarelo,Verde,Azul,Vocabulario,D   
3,Qual dessas palavras é um substantivo?,Run,Beautiful,Table,Quickly,Vocabulario,C
4,Qual palavra melhor completa a frase: 'She ____ to school every day.'?,Go,Going,Goes,Gone,Vocabulario,C
5,O que significa 'chair' em português?,Cadeira,Mesa,Sofá,Janela,Vocabulario,A
6,Qual é o antônimo de 'fast'?,Slow,Quick,Speed,Move,Vocabulario,A
7,O que significa 'book' em português?,Caderno,Revista,Livro,Papel,Vocabulario,C
8,Qual das palavras abaixo é um adjetivo?,Jump,Beautiful,Table,Run,Vocabulario,B
9,Qual é o significado de 'big' em português?,Pequeno,Grande,Médio,Largo,Vocabulario,B
10,Qual dessas palavras é um verbo?,House,Car,Blue,Sing,Vocabulario,D
11,Qual é o plural de 'mouse' em inglês?,Mouses,Mices,Mice,Mousees,Vocabulario,C
12,Qual palavra completa a frase: 'I have a ____ idea.'?,Good,Well,Nicely,Better,Vocabulario,A
13,Qual dessas palavras é um pronome pessoal?,He,House,Green,Run,Vocabulario,A
14,Qual dessas palavras é um advérbio?,Quickly,Quick,Quicker,Fast,Vocabulario,A
15,Qual é o significado de 'cold' em português?,Quente,Frio,Gelado,Morno,Vocabulario,B
16,Qual é a forma correta para completar a frase: 'She ____ to school every day.'?,go,goes,going,gone,Gramatica e Significado,B
17,Qual das frases abaixo está gramaticalmente correta?,She don’t like apples.,She didn't like apples.,She not like apples.,She doesn’t like apples.,Gramatica e Significado,D
18,Qual palavra é um pronome possessivo?,He,His,Him,Her,Gramatica e Significado,B
19,"Qual das opções completa corretamente a frase: 'If I ____ you, I would apologize.'?",was,were,am,is,Gramatica e Significado,B
20,Qual dessas palavras é um verbo modal?,Can,Is,Has,Will be,Gramatica e Significado,A
21,Qual das frases está no tempo verbal Present Perfect?,She has visited Paris.,She visits Paris.,She will visit Paris.,She is visiting Paris.,Gramatica e Significado,A
22,Qual a função de 'quickly' na frase: 'She runs quickly.'?,Verbo,Substantivo,Adjetivo,Advérbio,Gramatica e Significado,D
23,"Qual opção completa corretamente a frase: 'By the time we arrived, they ____ already left.'?",have,had,has,were,Gramatica e Significado,B
24,Qual é a forma correta do passado simples do verbo 'to eat'?,Eaten,Ate,Eating,Eats,Gramatica e Significado,B
25,Qual das frases está na voz passiva?,She wrote the book.,The book was written by her.,She writes a book.,She is writing a book.,Gramatica e Significado,B
26,Qual é o erro na frase: 'She didn’t went to school yesterday.'?,O verbo 'went' está incorreto; deveria ser 'go'.,O verbo 'went' está incorreto; deveria ser 'gone'.,O verbo 'went' está incorreto; deveria ser 'goes'.,O verbo 'went' está incorreto; deveria ser 'go'.,Gramatica e Significado,A
27,Qual das frases está na forma interrogativa?,She is reading a book.,She read a book.,Is she reading a book?,She was reading a book.,Gramatica e Significado,C
28,Qual das frases está correta no futuro simples?,She will go to the party.,She goes to the party tomorrow.,She went to the party next week.,She go to the party next week.,Gramatica e Significado,A
29,Qual das frases usa a estrutura correta do condicional tipo 1?,"If it rains, we would stay home.","If it rains, we will stay home.","If it rained, we will stay home.","If it rain, we will stay home.",Gramatica e Significado,B
30,Qual palavra completa corretamente a frase: 'She is interested ____ learning new languages.'?,on,at,in,with,Gramatica e Significado,C
31,Qual das frases está na forma negativa do Present Simple?,She don’t like coffee.,She doesn’t like coffee.,She didn’t like coffee.,She not like coffee.,Gramatica e Significado,B
